Fecha,Periodo,Monto
03/01/2000,1,9.3949
04/01/2000,2,9.4564
05/01/2000,3,9.5455
06/01/2000,4,9.5705
07/01/2000,5,9.515
10/01/2000,6,9.4464
11/01/2000,7,9.478
12/01/2000,8,9.5352
13/01/2000,9,9.5057
14/01/2000,10,9.4483
17/01/2000,11,9.4172
18/01/2000,12,9.4383
19/01/2000,13,9.4086
20/01/2000,14,9.4038
21/01/2000,15,9.4463
24/01/2000,16,9.4838
25/01/2000,17,9.5288
26/01/2000,18,9.5103
27/01/2000,19,9.5123
28/01/2000,20,9.5727
31/01/2000,21,9.6253
01/02/2000,22,9.5956
02/02/2000,23,9.5724
03/02/2000,24,9.5011
04/02/2000,25,9.4803
07/02/2000,26,9.4327
08/02/2000,27,9.4018
09/02/2000,28,9.3998
10/02/2000,29,9.4348
11/02/2000,30,9.4212
14/02/2000,31,9.3988
15/02/2000,32,9.388
16/02/2000,33,9.371
17/02/2000,34,9.3905
18/02/2000,35,9.3592
21/02/2000,36,9.4108
22/02/2000,37,9.4395
23/02/2000,38,9.4067
24/02/2000,39,9.3798
25/02/2000,40,9.3748
28/02/2000,41,9.4033
29/02/2000,42,9.3662
01/03/2000,43,9.3633
02/03/2000,44,9.3382
03/03/2000,45,9.3115
06/03/2000,46,9.3215
07/03/2000,47,9.3009
08/03/2000,48,9.2662
09/03/2000,49,9.2837
10/03/2000,50,9.3125
13/03/2000,51,9.3338
14/03/2000,52,9.3127
15/03/2000,53,9.3436
16/03/2000,54,9.3224
17/03/2000,55,9.3255
20/03/2000,56,9.3185
22/03/2000,57,9.2765
23/03/2000,58,9.2398
24/03/2000,59,9.1712
27/03/2000,60,9.1775
28/03/2000,61,9.1883
29/03/2000,62,9.2331
30/03/2000,63,9.3015
31/03/2000,64,9.2845
03/04/2000,65,9.2761
04/04/2000,66,9.2878
05/04/2000,67,9.3835
06/04/2000,68,9.3535
07/04/2000,69,9.3218
10/04/2000,70,9.2868
11/04/2000,71,9.3918
12/04/2000,72,9.3965
13/04/2000,73,9.3988
14/04/2000,74,9.4842
17/04/2000,75,9.4882
18/04/2000,76,9.4388
19/04/2000,77,9.3939
24/04/2000,78,9.4443
25/04/2000,79,9.4078
26/04/2000,80,9.4073
27/04/2000,81,9.4521
28/04/2000,82,9.4127
02/05/2000,83,9.3374
03/05/2000,84,9.3848
04/05/2000,85,9.3928
08/05/2000,86,9.4918
09/05/2000,87,9.4855
10/05/2000,88,9.5702
11/05/2000,89,9.5768
12/05/2000,90,9.5661
15/05/2000,91,9.582
16/05/2000,92,9.5088
17/05/2000,93,9.5451
18/05/2000,94,9.5751
19/05/2000,95,9.615
22/05/2000,96,9.5778
23/05/2000,97,9.509
24/05/2000,98,9.5328
25/05/2000,99,9.494
26/05/2000,100,9.5274
29/05/2000,101,9.5326
30/05/2000,102,9.516
31/05/2000,103,9.511
01/06/2000,104,9.4988
02/06/2000,105,9.5461
05/06/2000,106,9.5442
06/06/2000,107,9.657
07/06/2000,108,9.7942
08/06/2000,109,9.8519
09/06/2000,110,9.9263
12/06/2000,111,9.8546
13/06/2000,112,9.7645
14/06/2000,113,9.7879
15/06/2000,114,9.8478
16/06/2000,115,9.9243
19/06/2000,116,9.9031
20/06/2000,117,9.8644
21/06/2000,118,9.8568
22/06/2000,119,9.8707
23/06/2000,120,9.9805
26/06/2000,121,10.0197
27/06/2000,122,10.0787
28/06/2000,123,9.9538
29/06/2000,124,9.9003
30/06/2000,125,9.8243
03/07/2000,126,9.5461
04/07/2000,127,9.4876
05/07/2000,128,9.5384
06/07/2000,129,9.546
07/07/2000,130,9.5195
10/07/2000,131,9.5023
11/07/2000,132,9.428
12/07/2000,133,9.4748
13/07/2000,134,9.4368
14/07/2000,135,9.4152
17/07/2000,136,9.3491
18/07/2000,137,9.3327
19/07/2000,138,9.4118
20/07/2000,139,9.3608
21/07/2000,140,9.3485
24/07/2000,141,9.3337
25/07/2000,142,9.3657
26/07/2000,143,9.3627
27/07/2000,144,9.361
28/07/2000,145,9.3578
31/07/2000,146,9.3667
01/08/2000,147,9.3428
02/08/2000,148,9.3462
03/08/2000,149,9.3881
04/08/2000,150,9.3574
07/08/2000,151,9.3353
08/08/2000,152,9.3353
09/08/2000,153,9.326
10/08/2000,154,9.3198
11/08/2000,155,9.2918
14/08/2000,156,9.2516
15/08/2000,157,9.2504
16/08/2000,158,9.1923
17/08/2000,159,9.1873
18/08/2000,160,9.2293
21/08/2000,161,9.2563
22/08/2000,162,9.2322
23/08/2000,163,9.2773
24/08/2000,164,9.2268
25/08/2000,165,9.2342
28/08/2000,166,9.2093
29/08/2000,167,9.2317
30/08/2000,168,9.2108
31/08/2000,169,9.1995
01/09/2000,170,9.2014
04/09/2000,171,9.2231
05/09/2000,172,9.2612
06/09/2000,173,9.3115
07/09/2000,174,9.3141
08/09/2000,175,9.3243
11/09/2000,176,9.2814
12/09/2000,177,9.2542
13/09/2000,178,9.286
14/09/2000,179,9.3125
15/09/2000,180,9.3517
18/09/2000,181,9.4172
19/09/2000,182,9.425
20/09/2000,183,9.4483
21/09/2000,184,9.4347
22/09/2000,185,9.479
25/09/2000,186,9.4218
26/09/2000,187,9.4032
27/09/2000,188,9.4088
28/09/2000,189,9.429
29/09/2000,190,9.4459
02/10/2000,191,9.4142
03/10/2000,192,9.4014
04/10/2000,193,9.4292
05/10/2000,194,9.4515
06/10/2000,195,9.46
09/10/2000,196,9.4753
10/10/2000,197,9.4632
11/10/2000,198,9.479
12/10/2000,199,9.5193
13/10/2000,200,9.5879
16/10/2000,201,9.5351
17/10/2000,202,9.5443
18/10/2000,203,9.5765
19/10/2000,204,9.5333
20/10/2000,205,9.5605
23/10/2000,206,9.5736
24/10/2000,207,9.5757
25/10/2000,208,9.6242
26/10/2000,209,9.6777
27/10/2000,210,9.6443
30/10/2000,211,9.5995
31/10/2000,212,9.5642
01/11/2000,213,9.5824
03/11/2000,214,9.599
06/11/2000,215,9.6438
07/11/2000,216,9.6544
08/11/2000,217,9.6166
09/11/2000,218,9.6533
10/11/2000,219,9.6008
13/11/2000,220,9.558
14/11/2000,221,9.4963
15/11/2000,222,9.4625
16/11/2000,223,9.4828
17/11/2000,224,9.4828
21/11/2000,225,9.4098
22/11/2000,226,9.379
23/11/2000,227,9.4057
24/11/2000,228,9.393
27/11/2000,229,9.3692
28/11/2000,230,9.4058
29/11/2000,231,9.3973
30/11/2000,232,9.4155
04/12/2000,233,9.4132
05/12/2000,234,9.3737
06/12/2000,235,9.402
07/12/2000,236,9.4263
08/12/2000,237,9.3984
11/12/2000,238,9.4418
13/12/2000,239,9.4497
14/12/2000,240,9.4127
15/12/2000,241,9.4079
18/12/2000,242,9.3788
19/12/2000,243,9.379
20/12/2000,244,9.4348
21/12/2000,245,9.5727
22/12/2000,246,9.598
26/12/2000,247,9.5201
27/12/2000,248,9.5722
28/12/2000,249,9.5997
29/12/2000,250,9.6098
02/01/2001,251,9.714
03/01/2001,252,9.834
04/01/2001,253,9.708
05/01/2001,254,9.7546
08/01/2001,255,9.69
09/01/2001,256,9.7417
10/01/2001,257,9.8167
11/01/2001,258,9.8548
12/01/2001,259,9.8798
15/01/2001,260,9.9018
16/01/2001,261,9.9778
17/01/2001,262,9.8878
18/01/2001,263,9.887
19/01/2001,264,9.7953
22/01/2001,265,9.7863
23/01/2001,266,9.7683
24/01/2001,267,9.6923
25/01/2001,268,9.683
26/01/2001,269,9.6909
29/01/2001,270,9.6687
30/01/2001,271,9.6692
31/01/2001,272,9.6828
01/02/2001,273,9.7328
02/02/2001,274,9.756
06/02/2001,275,9.6998
07/02/2001,276,9.6945
08/02/2001,277,9.6464
09/02/2001,278,9.7238
12/02/2001,279,9.7389
13/02/2001,280,9.7065
14/02/2001,281,9.7219
15/02/2001,282,9.6763
16/02/2001,283,9.7022
19/02/2001,284,9.7044
20/02/2001,285,9.6797
21/02/2001,286,9.709
22/02/2001,287,9.7278
23/02/2001,288,9.7183
26/02/2001,289,9.6618
27/02/2001,290,9.6827
28/02/2001,291,9.7025
01/03/2001,292,9.7052
02/03/2001,293,9.6688
05/03/2001,294,9.637
06/03/2001,295,9.6409
07/03/2001,296,9.6542
08/03/2001,297,9.6468
09/03/2001,298,9.6703
12/03/2001,299,9.6625
13/03/2001,300,9.632
14/03/2001,301,9.576
15/03/2001,302,9.5843
16/03/2001,303,9.6233
19/03/2001,304,9.5683
20/03/2001,305,9.5188
22/03/2001,306,9.5722
23/03/2001,307,9.654
26/03/2001,308,9.5315
27/03/2001,309,9.5139
28/03/2001,310,9.538
29/03/2001,311,9.5203
30/03/2001,312,9.4933
02/04/2001,313,9.4152
03/04/2001,314,9.3914
04/04/2001,315,9.4201
05/04/2001,316,9.414
06/04/2001,317,9.4059
09/04/2001,318,9.3587
10/04/2001,319,9.3093
11/04/2001,320,9.2908
16/04/2001,321,9.323
17/04/2001,322,9.2723
18/04/2001,323,9.1966
19/04/2001,324,9.2748
20/04/2001,325,9.3525
23/04/2001,326,9.37
24/04/2001,327,9.2768
25/04/2001,328,9.3123
26/04/2001,329,9.2671
27/04/2001,330,9.3049
30/04/2001,331,9.2537
02/05/2001,332,9.283
03/05/2001,333,9.2873
04/05/2001,334,9.2579
07/05/2001,335,9.2212
08/05/2001,336,9.2048
09/05/2001,337,9.216
10/05/2001,338,9.1967
11/05/2001,339,9.225
14/05/2001,340,9.1922
15/05/2001,341,9.161
16/05/2001,342,9.1645
17/05/2001,343,8.9952
18/05/2001,344,8.9774
21/05/2001,345,8.9428
22/05/2001,346,8.966
23/05/2001,347,9.0398
24/05/2001,348,9.0805
25/05/2001,349,9.0945
28/05/2001,350,9.0781
29/05/2001,351,9.0851
30/05/2001,352,9.1653
31/05/2001,353,9.1835
01/06/2001,354,9.1735
04/06/2001,355,9.1369
05/06/2001,356,9.1722
06/06/2001,357,9.1208
07/06/2001,358,9.1235
08/06/2001,359,9.068
11/06/2001,360,9.029
12/06/2001,361,9.094
13/06/2001,362,9.118
14/06/2001,363,9.0523
15/06/2001,364,9.0522
18/06/2001,365,9.0502
19/06/2001,366,9.0792
20/06/2001,367,9.0798
21/06/2001,368,9.057
22/06/2001,369,9.073
25/06/2001,370,9.0595
26/06/2001,371,9.0606
27/06/2001,372,9.0608
28/06/2001,373,9.09
29/06/2001,374,9.0708
02/07/2001,375,9.0221
03/07/2001,376,9.0258
04/07/2001,377,9.0707
05/07/2001,378,9.0312
06/07/2001,379,9.1503
09/07/2001,380,9.1193
10/07/2001,381,9.1476
11/07/2001,382,9.2953
12/07/2001,383,9.342
13/07/2001,384,9.3542
16/07/2001,385,9.2918
17/07/2001,386,9.1855
18/07/2001,387,9.1283
19/07/2001,388,9.2
20/07/2001,389,9.1796
23/07/2001,390,9.1107
24/07/2001,391,9.1087
25/07/2001,392,9.1599
26/07/2001,393,9.157
27/07/2001,394,9.192
30/07/2001,395,9.1472
31/07/2001,396,9.1408
01/08/2001,397,9.2111
02/08/2001,398,9.1698
03/08/2001,399,9.1638
06/08/2001,400,9.1292
07/08/2001,401,9.12
08/08/2001,402,9.0958
09/08/2001,403,9.0897
10/08/2001,404,9.1247
13/08/2001,405,9.0863
14/08/2001,406,9.1206
15/08/2001,407,9.094
16/08/2001,408,9.0833
17/08/2001,409,9.1155
20/08/2001,410,9.1383
21/08/2001,411,9.1227
22/08/2001,412,9.1158
23/08/2001,413,9.1205
24/08/2001,414,9.1444
27/08/2001,415,9.1123
28/08/2001,416,9.1365
29/08/2001,417,9.1438
30/08/2001,418,9.1692
31/08/2001,419,9.2
03/09/2001,420,9.1936
04/09/2001,421,9.1957
05/09/2001,422,9.2587
06/09/2001,423,9.2898
07/09/2001,424,9.3242
10/09/2001,425,9.3716
11/09/2001,426,9.5475
12/09/2001,427,9.4447
13/09/2001,428,9.4748
14/09/2001,429,9.4942
17/09/2001,430,9.4478
18/09/2001,431,9.4455
19/09/2001,432,9.4185
20/09/2001,433,9.4802
21/09/2001,434,9.4848
24/09/2001,435,9.4315
25/09/2001,436,9.4842
26/09/2001,437,9.5258
27/09/2001,438,9.5542
28/09/2001,439,9.5098
01/10/2001,440,9.5037
02/10/2001,441,9.5217
03/10/2001,442,9.5273
04/10/2001,443,9.5243
05/10/2001,444,9.5808
08/10/2001,445,9.5666
09/10/2001,446,9.5163
10/10/2001,447,9.4053
11/10/2001,448,9.3397
12/10/2001,449,9.3538
15/10/2001,450,9.2753
16/10/2001,451,9.235
17/10/2001,452,9.234
18/10/2001,453,9.231
19/10/2001,454,9.1971
22/10/2001,455,9.1977
23/10/2001,456,9.2243
24/10/2001,457,9.2173
25/10/2001,458,9.2469
